"AnimalID","Name","DateTime","OutcomeType","OutcomeSubtype","AnimalType","SexuponOutcome","AgeuponOutcome","Breed","Color"
9394,0.718073423282083,0.319774107425388,1,8,1,0.6,0.0681818181818182,0.624365482233503,0.452054794520548
5347,0,0.138756334644123,5,16,0,0.6,0.5,0.464104423495286,0.112328767123288
1435,0.772199560715406,0.0895659446987754,4,1,1,0.6,0.136363636363636,0.174764321972444,0.235616438356164
17060,0,0.618657206507411,1,1,1,0.8,0.909090909090909,0.697606961566352,0.871232876712329
1640,0.575305930342014,0.280605454432701,1,1,1,0.6,0.613636363636364,0.629441624365482,0.0136986301369863
21122,0.150768748038908,0.75929306405166,1,1,1,0.4,0.931818181818182,0.773023930384336,0.887671232876712
12312,0,0.402077969988058,1,1,0,0.6,0.659090909090909,0.464104423495286,0.304109589041096
25180,0.57028553498588,0.897988974101701,4,1,1,0.6,0.795454545454545,0.375634517766497,0.0136986301369863
905,0.542359585817383,0.934432954937564,4,1,1,0.8,0.909090909090909,0.17258883248731,0.841095890410959
19960,0,0.728540125905773,1,8,0,0.8,0.454545454545455,0.458303118201595,0.112328767123288
23609,0.366802635707562,0.840736671209112,1,1,1,0.6,0.863636363636364,0.697606961566352,0.358904109589041
25376,0,0.908262745216519,5,14,1,1,0.0909090909090909,0.614213197969543,0.871232876712329
4141,0.187323501725761,0.876070747658945,1,1,1,0.6,0.5,0.326323422770123,0.0136986301369863
20327,0.176498274239096,0.721355959693616,4,1,1,0.6,0.613636363636364,0.326323422770123,0.241095890410959
20687,0,0.729425028184893,5,14,0,1,0.727272727272727,0.464104423495286,0.0136986301369863
6230,0,0.188210684658355,1,1,1,0.8,0.159090909090909,0.588107324147933,0.841095890410959
2958,0.508315029808597,0.127370273961929,4,1,0,0.8,0.909090909090909,0.464104423495286,0.284931506849315
280,0.273768434264198,0.316389535096353,4,1,1,0.6,0.909090909090909,0.773023930384336,0.684931506849315
24926,0,0.914139036990982,4,1,0,0.6,0.5,0.461928934010152,0.172602739726027
25166,0.378255412613743,0.919717976157727,1,1,0,0.8,0.75,0.464104423495286,0.380821917808219
12603,0.941167241920301,0.507469592913149,1,8,0,0.4,0.568181818181818,0.458303118201595,0.284931506849315
1684,0.930812676498274,0.0450576657343258,1,1,0,0.8,0.659090909090909,0.461928934010152,0.838356164383562
5629,0,0.153755945064503,5,16,0,0.4,0.136363636363636,0.464104423495286,0.457534246575342
11702,0.114841543771572,0.468634865308809,5,14,1,0.6,0.136363636363636,0.773023930384336,0.791780821917808
8850,0.547379981173517,0.279704650944611,4,1,1,0.8,0.613636363636364,0.614213197969543,0.980821917808219
16533,0.0283966112331346,0.876078698263429,1,1,1,0.8,0.613636363636364,0.773023930384336,0.104109589041096
331,0.457326639472859,0.615131908479002,5,14,1,0.6,0.909090909090909,0.221899927483684,0.356164383561644
15810,0.861939127706307,0.547539049393925,4,1,1,0.8,0.136363636363636,0.696881798404641,0.00547945205479452
9982,0.286319422654534,0.587653824320263,4,1,1,0.2,0.613636363636364,0.588107324147933,0.901369863013699
16617,0.772356448070286,0.59088335986185,4,1,1,0.8,0.136363636363636,0.504713560551124,0.756164383561644
2251,0.892845936617509,0.00135080770190958,4,1,0,0.8,0.954545454545455,0.875271936185642,0.112328767123288
19263,0.989017885158456,0.697636921335129,4,1,1,0.6,0.613636363636364,0.960116026105874,0.841095890410959
5802,0.182459993724506,0.177941683906227,1,1,1,0.8,0.613636363636364,0.99492385786802,0.936986301369863
13011,0.540163162849074,0.461763157852892,1,1,1,0.6,0.136363636363636,0.646120377084844,0.243835616438356
8253,0,0.261112957418152,3,17,0,0.4,0.704545454545455,0.464104423495286,0.591780821917808
6654,0.20709130844054,0.225701760104821,5,14,1,0.8,0.909090909090909,0.517041334300218,0.312328767123288
17816,0.592092877314088,0.699593565098754,1,8,0,0.8,0.454545454545455,0.464104423495286,0.380821917808219
24850,0.33197364292438,0.904720750918692,5,14,1,0.6,0.795454545454545,0.614213197969543,0.241095890410959
3032,0,0.0267784309641062,3,17,0,0.6,0.954545454545455,0.461928934010152,0.104109589041096
11014,0,0.349204064985061,3,17,0,1,0.136363636363636,0.464104423495286,0.104109589041096
4163,0.687637276435519,0.723982044354832,4,1,1,0.6,0.613636363636364,0.27773749093546,0.841095890410959
25534,0,0.929865332661242,1,1,1,0.8,0.613636363636364,0.326323422770123,0.750684931506849
9181,0.365390649513649,0.294382261883371,5,14,0,0.2,0.0681818181818182,0.464104423495286,0.284931506849315
25310,0.850643238155005,0.926697016774185,1,1,0,0.8,0.5,0.464104423495286,0.871232876712329
25324,0.251804204581111,0.907106727324479,4,1,0,0.6,0.704545454545455,0.464104423495286,0.235616438356164
20319,0.529808597427047,0.730443500619352,2,10,0,0.4,0.590909090909091,0.92168237853517,0.712328767123288
15525,0.975211797929087,0.579770799973922,1,1,1,0.6,0.909090909090909,0.569978245105149,0.353424657534247
4910,0.855036084091622,0.120655988474804,1,1,1,0.8,0.704545454545455,0.701232777374909,0.972602739726027
24873,0,0.888930055352108,5,16,0,1,0.5,0.464104423495286,0.810958904109589
22517,0.541261374333229,0.800354755972097,1,1,1,0.8,0.659090909090909,0.691805656272661,0.756164383561644
12011,0,0.385989126753307,5,14,0,0.6,0.477272727272727,0.464104423495286,0.534246575342466
18021,0.837150925635394,0.713215335761978,1,8,0,0.6,0.454545454545455,0.464104423495286,0.0136986301369863
18244,0,0.662162119185922,5,14,0,0.4,0.590909090909091,0.464104423495286,0.304109589041096
14940,0.176498274239096,0.507647686453601,1,1,1,0.6,0.5,0.326323422770123,0.356164383561644
9909,0.331816755569501,0.314146669571288,4,1,1,0.2,0.613636363636364,0.773023930384336,0.235616438356164
18200,0.0691873235017258,0.735416603724381,1,1,0,0.8,0.613636363636364,0.464104423495286,0.284931506849315
14026,0.707561970505177,0.473340033042712,1,1,0,0.6,0.454545454545455,0.464104423495286,0.304109589041096
26633,0.655946030749922,0.989675345016482,4,1,1,0.8,0.840909090909091,0.0812182741116751,0.0986301369863014
3275,0.0373391904612488,0.0645811701063632,1,1,1,0.2,0.136363636363636,0.773023930384336,0.235616438356164
15439,0,0.545261996269576,5,14,1,0.2,0.477272727272727,0.180565627266135,0.104109589041096
11988,0.077345465955444,0.386034445198868,5,14,1,0.8,0.136363636363636,0.716461203770848,0.531506849315069
9523,0.339033573893944,0.306060904810593,1,1,0,0.8,0.454545454545455,0.464104423495286,0.810958904109589
1653,0.296517100721682,0.337979401573902,1,1,1,0.8,0.5,0.222625090645395,0.904109589041096
11590,0,0.371169199994276,5,14,0,1,0.477272727272727,0.464104423495286,0.871232876712329
12442,0,0.405740813474048,1,1,1,0.8,0.136363636363636,0.326323422770123,0.791780821917808
13585,0.986193912770631,0.453591526563765,4,1,1,0.6,0.136363636363636,0.169688179840464,0.235616438356164
22862,0.996234703482899,0.823289864728415,1,1,0,0.6,0.454545454545455,0.464104423495286,0.591780821917808
16538,0.412613743332287,0.592384433988516,1,1,1,0.6,0.659090909090909,0.482233502538071,0.356164383561644
15363,0.795105114527769,0.553485306487852,1,1,1,0.8,0.136363636363636,0.618564176939811,0.104109589041096
2476,0.180577345465955,0.0093562713573113,1,1,1,0.8,0.5,0.326323422770123,0.356164383561644
26195,0.355192971446501,0.963326246694536,1,1,0,0.6,0.886363636363636,0.464104423495286,0.235616438356164
13180,0,0.433125875560319,1,1,1,0.6,0.613636363636364,0.710659898477157,0.0849315068493151
15443,0.172105428302479,0.529251864019221,5,14,1,0.2,0.454545454545455,0.993473531544597,0.0684931506849315
1257,0.912770630687167,0.0642949483449227,5,14,1,0.6,0.5,0.773023930384336,0.936986301369863
12047,0.611076247254471,0.663210803917422,1,8,0,0.8,0.136363636363636,0.464104423495286,0.871232876712329
17299,0.817069344210857,0.632299648742294,5,14,0,0.8,0.613636363636364,0.464104423495286,0.887671232876712
12619,0,0.421579212667539,1,1,1,0.8,0.454545454545455,0.326323422770123,0.0136986301369863
2881,0.139786633197364,0.0392425936143925,5,14,0,0.6,0.454545454545455,0.464104423495286,0.0136986301369863
16770,0.717759648572325,0.85567108667272,1,1,0,0.8,0.136363636363636,0.907179115300943,0.578082191780822
22708,0.118449952933794,0.804132088162663,4,1,1,0.6,0.5,0.405366207396664,0.241095890410959
12993,0.347348603702542,0.431879220777156,5,14,0,0.4,0.0681818181818182,0.458303118201595,0.591780821917808
10245,0,0.325446863725049,5,14,0,0.4,0.0681818181818182,0.464104423495286,0.284931506849315
15126,0.520552243489175,0.517637620988324,3,17,0,0.6,0.25,0.464104423495286,0.602739726027397
209,0.644179479133982,0.180179779068603,3,12,1,0.8,0.25,0.365482233502538,0.350684931506849
20243,0.196736743018513,0.724722245632335,3,17,0,0.2,0.0681818181818182,0.464104423495286,0.591780821917808
10289,0,0.336907660089397,5,14,1,0.2,0.954545454545455,0.326323422770123,0.241095890410959
1541,0.474741135864449,0.031330152031459,3,2,1,0.6,0.136363636363636,0.504713560551124,0.756164383561644
21177,0.994979604643866,0.764101589643861,1,1,0,0.6,0.454545454545455,0.464104423495286,0.172602739726027
12729,0.471289614057107,0.469783727656814,1,1,0,0.6,0.454545454545455,0.464104423495286,0.0356164383561644
22020,0.227643551929714,0.783249825484232,1,1,1,0.8,0.795454545454545,0.113125453226976,0.841095890410959
15420,0.916535927204267,0.531661692238461,1,1,0,0.8,0.75,0.464104423495286,0.304109589041096
7046,0.174615625980546,0.270670379068921,1,13,0,0.8,0.454545454545455,0.461928934010152,0.304109589041096
13771,0.256353937872607,0.45120475509753,4,1,1,0.8,0.613636363636364,0.893401015228426,0.791780821917808
4058,0.593975525572639,0.897185167988322,5,14,1,0.6,0.5,0.326323422770123,0.0986301369863014
9292,0.160966426106056,0.296904193625841,4,1,1,0.6,0.5,0.142131979695431,0.0986301369863014
21399,0.510825227486665,0.758275386677649,1,1,0,0.6,0.136363636363636,0.668600435097897,0.284931506849315
11706,0.334326953247568,0.380275027310326,5,14,1,0.6,1,0.896301667875272,0.936986301369863
162,0.798713523689991,0.120683020530051,4,1,1,0.8,0.909090909090909,0.614213197969543,0.372602739726027
16927,0.804204581110762,0.633379340831283,5,14,0,0.6,0.181818181818182,0.458303118201595,0.0136986301369863
22598,0.776121744587386,0.844896427475381,1,8,0,0.8,0.454545454545455,0.464104423495286,0.797260273972603
5564,0.419046124882335,0.15253473221569,1,1,1,0.6,0.931818181818182,0.653372008701958,0.0136986301369863
4055,0,0.0735645581133534,5,14,0,0.4,0.590909090909091,0.464104423495286,0.602739726027397
21658,0.128020081581425,0.848742134864514,5,14,1,0.6,0.977272727272727,0.868020304568528,0.0986301369863014
2369,0,0.00138101999895052,5,14,0,0.4,0.477272727272727,0.464104423495286,0.172602739726027
4336,0.647787888296203,0.0896693025570734,5,14,0,0.4,0.0681818181818182,0.464104423495286,0.591780821917808
16700,0,0.60143222189183,5,14,1,0.8,0.136363636363636,0.446700507614213,0.0684931506849315
9767,0.804518355820521,0.325638473293124,1,1,1,0.8,0.454545454545455,0.860768672951414,0.356164383561644
24205,0.711954816441795,0.916413704933986,1,1,0,0.6,0.568181818181818,0.464104423495286,0.284931506849315
4640,0.885472230938186,0.104471737986239,4,1,1,0.6,0.5,0.773023930384336,0.791780821917808
11461,0,0.366339207769967,5,16,0,0.4,0.136363636363636,0.464104423495286,0.602739726027397
24944,0,0.891248451619777,5,16,0,0.2,0.5,0.464104423495286,0.380821917808219
8742,0.397081895199247,0.28074379495073,5,14,0,0.4,0.0681818181818182,0.464104423495286,0.284931506849315
8707,0.227643551929714,0.334569387310517,1,1,0,0.8,0.454545454545455,0.464104423495286,0.0301369863013699
5584,0.370724819579542,0.311664490851239,1,1,1,0.6,0.5,0.231327048585932,0.684931506849315
13107,0,0.424040719815928,5,14,0,0.2,0.454545454545455,0.907179115300943,0.383561643835616
14890,0,0.530507264467317,1,8,0,0.8,0.454545454545455,0.464104423495286,0.284931506849315
1848,0.755569501098212,0.0310765277484047,4,1,1,0.6,0.659090909090909,0.614213197969543,0.241095890410959
10018,0.20709130844054,0.324380687663683,1,1,1,0.8,0.704545454545455,0.326323422770123,0.841095890410959
2762,0.716033887668654,0.039243388674841,5,14,1,0.2,0.136363636363636,0.405366207396664,0.0684931506849315
11652,0.115469093191089,0.437625122638074,1,1,1,0.6,0.5,0.0326323422770123,0.904109589041096
24881,0.68748038908064,0.898093922080896,4,1,1,0.6,0.5,0.773023930384336,0.356164383561644
5841,0.0621273925321619,0.368929514711003,1,8,1,0.6,0.613636363636364,0.326323422770123,0.0986301369863014
10160,0,0.321688612985245,5,16,0,0.2,0.136363636363636,0.464104423495286,0.380821917808219
3474,0,0.0472687288414538,5,16,0,0.4,0.5,0.464104423495286,0.104109589041096
23743,0,0.842612218806996,5,16,0,1,0.704545454545455,0.461928934010152,0.104109589041096
20015,0.412456855977408,0.712382907472455,4,1,1,0.6,0.227272727272727,0.179840464104424,0.452054794520548
16442,0,0.580962595586142,5,14,1,0.4,0.659090909090909,0.614213197969543,0.452054794520548
11120,0,0.352951184878586,5,14,0,0.2,0.477272727272727,0.464104423495286,0.0136986301369863
4245,0.96093504863508,0.0817194931330629,4,1,1,0.8,0.863636363636364,0.405366207396664,0.619178082191781
9449,0,0.310369337380721,1,1,0,0.6,0.454545454545455,0.464104423495286,0.602739726027397
1009,0.938970818951992,0.386174375837795,4,1,1,0.6,0.5,0.383611312545323,0.841095890410959
4009,0.852839661123313,0.0760324257453294,1,1,1,0.6,0.5,0.248730964467005,0.268493150684932
25537,0.341073109507374,0.920955885275958,4,1,1,0.6,0.5,0.910079767947788,0.104109589041096
263,0.52933793536241,0.913770924003352,3,15,1,0.4,0.909090909090909,0.910079767947788,0.684931506849315
13492,0.11923438970819,0.476685647409773,1,1,1,0.6,0.136363636363636,0.773023930384336,0.243835616438356
26473,0,0.992210792786576,5,14,1,0.4,0.477272727272727,0.614213197969543,0.841095890410959
6415,0.0218073423282083,0.202664088550653,5,14,0,0.8,0.704545454545455,0.464104423495286,0.284931506849315
10124,0.981330404769376,0.332181820783834,5,14,0,0.2,0.136363636363636,0.464104423495286,0.602739726027397
15944,0.829306557891434,0.559012566725448,5,14,1,0.2,0.5,0.503988397389413,0.0684931506849315
8348,0,0.264535692648712,5,14,1,0.2,0.75,0.326323422770123,0.104109589041096
